Year,Temperature
1901,14.16
1902,13.64
1903,13.87
1904,13.72
1905,12.81
1906,13.72
1907,14.46
1908,13.68
1909,13.33
1910,13.68
1911,13.81
1912,14.56
1913,13.91
1914,14.03
1915,13.73
1916,13.64
1917,13.6
1918,13.24
1919,14.22
1920,13.79
1921,13.85
1922,14.31
1923,13.88
1924,14.11
1925,13.05
1926,14.63
1927,13.81
1928,14.57
1929,13.71
1930,13.27
1931,14.52
1932,13.72
1933,14.08
1934,13.78
1935,13.84
1936,13.96
1937,14.11
1938,13.61
1939,13.95
1940,13.57
1941,14.25
1942,14.1
1943,13.75
1944,13.45
1945,12.93
1946,13.55
1947,13.57
1948,14.03
1949,13.87
1950,13.39
1951,13.2
1952,14.53
1953,14.22
1954,14.02
1955,14.02
1956,13.25
1957,13.6
1958,14.58
1959,13.82
1960,13.99
1961,13.79
1962,13.52
1963,13.39
1964,13.38
1965,13.76
1966,14.32
1967,13.57
1968,12.82
1969,13.4
1970,13.92
1971,13.18
1972,12.7
1973,14.12
1974,12.77
1975,13.26
1976,13.18
1977,13.51
1978,13.5
1979,13.94
1980,14.07
1981,13.94
1982,13.77
1983,13.57
1984,13.62
1985,13.93
1986,13.61
1987,13.81
1988,14.07
1989,13.02
1990,13.91
1991,13.73
1992,13.57
1993,13.91
1994,14.45
1995,14.99
1996,15.28
1997,13.13
1998,14.49
1999,14.43
2000,13.84
2001,13.6
2002,13.93
2003,14.32
2004,14.39
2005,14.63
2006,15.47
2007,14.47
2008,13.6
2009,14.95
2010,14.51
2011,13.84
2012,13.68
2013,14.38
2014,14.26
2015,14.53
2016,16.17
