Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,MtCO2e,2173.36,2302.18,2418.18,2645.41,2767.67,3088.62,3070.51,3134.11,3236.28,3153.66,3346.53,3529.08,3810.06,4415.91,5124.82,5824.63,6437.47,6993.18,7199.60,7719.07,8474.92,9282.55,9541.87,9984.57,10006.67,9861.10,9874.66,10096.01,10502.93,10707.22
United States,MtCO2e,4844.52,4807.50,4879.63,4995.21,5066.81,5117.04,5273.49,5543.35,5590.54,5609.02,5775.81,5748.26,5593.03,5658.99,5738.29,5753.49,5653.08,5736.32,5558.38,5156.43,5392.11,5173.60,4956.06,5092.10,5107.21,4990.71,4894.50,4819.37,4975.31,4817.72
India,MtCO2e,563.58,607.23,626.29,651.35,685.90,737.86,774.07,819.27,836.27,901.33,937.86,953.54,985.45,1011.77,1085.67,1136.47,1215.21,1336.74,1424.38,1564.88,1659.98,1756.74,1909.44,1972.43,2147.11,2158.02,2195.25,2320.41,2451.93,2456.30
Russia,MtCO2e,2163.53,2136.44,2030.81,1880.25,1685.05,1635.49,1601.18,1489.51,1487.97,1523.72,1563.85,1567.17,1565.34,1610.00,1600.98,1611.98,1654.85,1658.15,1655.19,1546.67,1617.83,1699.09,1675.76,1632.68,1611.96,1592.56,1571.52,1594.55,1661.00,1703.59
Japan,MtCO2e,1090.53,1103.98,1115.06,1107.61,1160.78,1171.01,1184.67,1172.63,1130.31,1165.32,1182.61,1170.38,1206.60,1214.95,1209.85,1212.82,1189.52,1225.07,1158.22,1100.98,1156.48,1213.52,1253.61,1262.78,1217.12,1179.44,1167.79,1155.23,1116.15,1081.57
Germany,MtCO2e,955.31,932.55,892.82,887.06,875.90,874.66,904.34,872.65,865.25,833.59,830.28,847.68,833.38,836.79,821.07,802.38,814.41,783.80,789.69,734.81,773.07,746.48,760.13,776.15,736.01,742.31,747.15,732.20,707.70,657.40
Iran,MtCO2e,198.47,219.10,233.65,236.73,266.69,271.52,279.81,292.40,290.99,323.36,340.45,354.07,369.87,389.77,417.66,450.79,484.18,514.14,523.05,542.29,541.17,552.05,559.12,583.70,605.35,599.18,607.21,626.42,637.43,630.01
Indonesia,MtCO2e,148.53,162.40,171.51,185.09,199.18,223.68,236.72,261.16,262.70,279.48,280.65,302.06,305.64,333.89,341.24,342.15,364.47,379.96,376.14,391.08,415.52,475.31,481.51,447.94,483.91,488.55,482.51,517.32,576.99,619.84
South Korea,MtCO2e,247.68,274.79,297.05,327.60,354.28,385.41,409.99,431.64,366.57,401.88,456.66,471.53,463.00,465.70,485.91,481.00,487.85,503.69,514.92,526.64,575.22,598.48,600.32,599.60,588.09,607.83,615.88,626.63,630.64,610.79
Canada,MtCO2e,419.49,413.30,426.37,422.05,436.76,448.05,461.70,476.82,484.79,494.28,514.22,506.62,524.35,544.54,536.42,549.03,540.53,571.63,550.47,521.32,537.01,549.29,546.21,555.66,561.68,558.70,556.83,568.08,580.09,580.21
Saudi Arabia,MtCO2e,171.41,187.93,202.04,203.26,206.36,204.83,217.65,220.07,233.90,239.52,249.66,254.09,272.25,284.83,299.89,315.29,335.44,354.62,389.72,406.53,446.13,463.77,492.47,503.21,540.52,565.19,561.23,545.07,521.26,523.78
Mexico,MtCO2e,269.58,288.00,291.68,300.67,326.50,306.84,322.70,342.48,365.14,355.18,379.18,378.83,386.00,404.69,414.10,432.19,448.30,457.12,459.55,448.37,462.87,478.40,486.45,475.74,462.24,471.63,473.31,471.58,452.57,449.27
South Africa,MtCO2e,247.66,242.33,238.82,246.49,252.14,264.31,274.11,289.03,296.49,278.41,284.66,320.54,331.32,353.09,379.99,377.65,379.79,397.06,426.74,404.20,425.31,409.26,426.78,436.92,447.93,424.81,425.14,435.65,434.35,439.64
Brazil,MtCO2e,197.90,205.48,207.87,215.26,222.50,241.28,262.41,281.33,290.59,300.96,313.67,319.38,317.76,310.81,328.52,331.69,335.62,352.56,373.63,350.00,397.93,418.31,454.23,486.84,511.62,485.34,447.08,456.49,433.99,434.30
Turkey,MtCO2e,139.20,143.80,149.80,155.58,153.82,168.15,185.34,193.43,193.69,192.65,216.40,197.77,208.11,219.16,224.60,235.00,261.08,288.97,287.19,287.83,297.11,317.72,328.88,318.17,340.64,351.59,374.59,415.90,411.73,396.84
Australia,MtCO2e,263.63,264.76,268.40,273.05,280.18,290.18,300.81,307.85,328.62,333.71,339.45,345.64,353.37,352.58,365.81,370.09,375.49,385.75,388.94,395.29,387.54,386.38,386.97,380.28,371.63,377.80,384.99,389.16,387.07,386.53
United Kingdom,MtCO2e,561.77,570.68,557.89,541.38,535.18,526.81,545.48,524.19,526.00,522.75,530.89,545.26,530.79,543.04,543.08,540.92,542.06,530.50,515.34,466.49,482.44,445.59,467.78,453.76,415.60,401.08,380.81,367.00,360.73,348.92
Vietnam,MtCO2e,19.33,19.80,20.81,24.24,26.68,31.40,35.03,40.84,45.47,46.41,51.21,56.72,66.50,70.90,85.05,92.37,94.87,105.14,117.59,132.29,151.41,155.97,155.52,164.30,180.87,220.65,223.72,230.45,285.60,336.49
Italy,MtCO2e,405.26,404.07,402.27,396.93,392.29,416.42,412.15,415.52,426.37,433.01,436.30,436.57,443.47,462.20,472.40,473.83,466.65,459.37,444.98,397.06,405.27,396.69,376.75,346.46,327.50,337.86,333.34,329.19,324.88,317.24
France,MtCO2e,356.24,380.65,368.59,349.42,344.40,352.24,367.90,359.07,381.11,374.90,373.12,376.73,371.02,376.71,377.79,380.66,371.55,362.83,357.99,343.73,347.78,335.14,338.42,338.56,306.10,311.30,313.92,317.83,307.05,300.52
Poland,MtCO2e,350.21,351.62,343.37,344.02,339.75,340.00,355.32,344.63,318.41,308.98,295.77,293.63,287.32,297.73,301.85,301.35,314.09,313.38,308.33,297.26,313.74,310.59,303.35,298.30,285.73,289.08,299.80,312.86,311.91,295.13
Thailand,MtCO2e,89.22,98.07,107.95,122.72,137.06,155.78,174.71,177.94,156.79,163.79,164.49,173.16,184.24,191.93,210.19,217.77,219.88,224.59,227.58,220.26,234.38,233.60,250.68,260.70,256.80,264.00,261.60,258.82,257.05,267.09
Malaysia,MtCO2e,54.62,65.10,67.17,73.04,79.74,86.31,98.64,106.02,105.69,114.45,124.36,129.46,136.38,144.49,158.27,167.42,174.10,189.94,202.91,181.93,200.22,202.74,205.81,223.66,236.65,236.54,235.96,227.62,244.41,253.27
Egypt,MtCO2e,87.75,89.37,90.90,92.66,87.90,93.72,98.94,106.06,110.98,116.54,114.61,126.70,129.44,133.02,144.50,162.22,170.75,183.40,189.94,197.66,200.31,205.77,215.00,213.86,219.12,226.28,231.23,242.23,247.91,249.37
Spain,MtCO2e,214.95,222.10,232.37,218.08,228.45,240.57,230.11,248.60,256.22,278.30,293.31,294.79,312.75,318.66,335.56,350.50,341.78,354.68,324.27,287.49,273.25,274.40,269.27,242.81,240.96,256.28,247.03,263.45,257.04,239.98
Kazakhstan,MtCO2e,237.25,246.37,253.84,219.24,199.17,175.24,153.39,132.24,135.84,122.65,120.15,117.44,131.06,146.14,158.03,169.21,185.30,198.39,242.03,213.61,229.70,245.45,244.60,260.01,209.23,190.73,202.15,214.58,216.60,212.11
Pakistan,MtCO2e,59.03,60.31,66.98,73.75,76.25,82.74,85.82,89.36,90.19,98.77,98.37,99.84,102.33,105.66,118.65,121.67,132.48,146.26,142.16,145.14,140.62,141.70,143.81,146.06,154.24,164.13,181.11,198.83,187.31,190.57
United Arab Emirates,MtCO2e,55.21,61.56,59.70,63.62,70.78,75.17,78.53,81.44,83.45,85.68,84.73,97.20,99.15,103.82,110.01,116.46,121.56,131.83,156.05,157.02,162.79,165.60,175.59,184.47,184.76,195.24,201.08,197.04,177.12,188.86
Ukraine,MtCO2e,688.62,651.93,574.64,499.31,415.67,399.25,346.11,328.24,309.29,305.73,297.38,300.55,303.94,330.23,307.14,295.41,303.99,312.14,301.20,251.62,268.92,283.34,277.11,270.27,237.73,191.07,201.66,174.94,185.62,174.73
Iraq,MtCO2e,64.21,45.55,67.34,89.56,102.12,100.07,98.88,118.91,91.78,72.71,87.63,97.55,91.16,81.28,88.11,85.13,82.96,76.65,88.14,94.20,108.55,113.04,129.00,139.10,134.04,133.17,142.23,155.08,163.15,174.56
Algeria,MtCO2e,62.94,66.43,66.84,72.22,73.61,76.44,76.12,74.43,74.65,77.51,80.05,78.65,82.40,88.19,89.49,94.19,99.81,102.75,107.75,112.17,114.18,120.79,134.93,139.02,147.74,156.27,154.91,158.34,165.54,171.25
Argentina,MtCO2e,100.32,105.92,107.93,110.26,111.91,112.89,122.55,126.12,132.67,134.51,132.27,125.26,117.47,127.66,141.38,145.99,154.90,162.81,167.23,156.57,167.22,176.64,177.96,183.25,179.60,185.55,183.16,179.32,176.90,168.10
Netherlands,MtCO2e,148.38,154.51,153.25,158.15,157.26,164.11,173.62,166.31,166.73,161.45,162.10,167.12,167.43,170.36,172.12,167.93,163.70,164.55,165.22,160.49,171.11,158.77,157.47,157.09,149.79,157.41,158.54,155.76,151.36,146.34
Philippines,MtCO2e,41.08,40.65,44.02,47.80,51.51,61.75,67.22,74.79,74.22,71.58,72.10,70.48,71.57,73.63,75.14,76.67,69.47,73.22,75.15,76.30,81.93,82.63,86.18,95.50,101.82,111.01,121.96,133.50,138.57,145.42
Uzbekistan,MtCO2e,117.77,118.58,113.08,114.59,108.88,98.15,99.60,100.73,116.26,116.49,123.81,125.70,129.89,121.91,124.84,119.19,127.36,122.58,128.88,116.53,126.24,128.63,113.14,111.86,104.87,99.17,105.23,109.53,112.47,116.71
Nigeria,MtCO2e,72.77,81.93,91.81,86.24,78.33,86.17,100.23,98.65,88.70,87.02,97.22,101.95,92.24,101.00,98.73,98.72,88.77,81.12,86.93,76.95,90.06,95.00,95.34,108.13,114.83,107.76,110.83,108.50,109.89,115.28
Venezuela,MtCO2e,101.63,100.99,103.11,107.39,106.53,114.04,121.84,127.59,129.30,125.46,131.52,135.80,140.75,135.77,139.61,147.38,147.53,142.39,151.11,152.59,164.10,160.04,181.13,180.43,179.24,163.13,151.07,140.82,132.13,112.34
Czech Republic,MtCO2e,150.20,136.90,134.14,130.98,124.71,125.18,126.74,124.79,118.92,111.95,123.17,122.72,118.53,122.77,123.44,119.99,120.60,123.62,118.31,111.17,112.25,109.17,106.07,101.15,97.51,99.14,101.73,101.83,100.90,96.29
Belgium,MtCO2e,109.31,113.96,112.33,110.11,114.90,114.57,119.45,116.63,119.41,115.51,117.27,118.34,110.85,115.50,114.02,110.61,108.65,104.59,106.93,99.67,106.72,96.48,95.27,96.59,90.14,95.13,94.22,92.72,93.66,93.01
Kuwait,MtCO2e,29.13,7.82,23.05,30.74,36.67,36.25,35.63,37.30,42.13,45.74,49.84,53.19,55.59,58.12,61.91,69.91,72.43,70.60,75.84,77.65,80.72,83.29,85.31,87.36,85.57,89.02,91.55,90.73,91.39,92.65
Qatar,MtCO2e,12.54,14.98,14.68,16.61,18.49,19.05,20.94,25.39,26.50,29.00,28.66,28.65,32.50,34.74,37.07,38.54,43.77,49.83,53.04,54.07,60.58,68.19,75.08,76.17,81.66,84.78,86.92,87.54,86.42,91.97
Chile,MtCO2e,30.52,29.30,30.32,32.32,35.64,38.97,44.90,51.29,52.01,54.43,50.42,48.43,49.12,50.20,54.97,55.97,57.15,64.57,67.99,65.45,69.75,76.47,78.41,83.00,76.56,82.23,86.49,87.07,86.61,91.37
Bangladesh,MtCO2e,11.52,10.83,11.82,12.57,13.54,16.55,16.83,18.97,19.25,20.11,21.65,25.78,27.43,28.63,30.53,32.71,35.90,37.99,41.58,44.75,50.58,54.42,57.99,60.60,63.83,72.19,74.38,79.34,83.45,90.74
Colombia,MtCO2e,48.73,50.44,52.51,55.88,56.78,59.31,58.65,64.19,64.44,55.40,58.34,58.94,56.77,56.11,56.11,57.64,57.69,59.18,59.78,62.01,63.56,69.10,69.70,76.86,79.20,80.23,82.68,74.99,78.59,81.04
